id,text,sentiment
N30,"Apple just makes me feel the happiest boy in the world, even having only an iPhone 4 :( #loveyouapple #fanboy @tim_cook",1
N31,Just about to make a deal for my iPhone and fucking fire alarm goes off and have to evacuate :(,1
N32,@NikiAlbon what are the emojis I don't have ios9  :(,1
N33,No iPhone 6s Plus at the Verizon I went to :( #bummer #myluck #preorder #illwait,1
N34,@MyPapoose Oh my iPhone says its not coming until Tuesday :( Ive got other stuff coming too thats promised for today.,1
N35,Takin out loans for the iPhone :(,1
N36,"@d_trw @NatalyaLim yds , I want get iphone6s plus rose gold de :(",1
N37,When you're sitting there waiting for the UPS truck for your new iphone :) :(,1
N38,Iphone 5s? :(,1
N39,@IHarr_Empires I WANNA iPHONE TOO! I HAVE NO PHONE :(,1
N40,"@emohrberg @DRoessl maybe some of us like our iPhone Fives, damn it. :( (not to be confused with 5s)",1
N41,@MsCharlotteX :( Today is the iPhone 6S release date. Maybe Apple is causing phones to self destruct to force more upgrades.,1
N42,I have to wait to get an iPhone 6s :(,1
N43,@EyaAmira ndak boleh juga ba :( maybe it only works on iPhone????,1
N44,The #iphone6s is too big for me to use one-handed. And I have big hands. :(,1
N45,@virtuatennis + ios9 + ipad2 not a good combo. Game crashes a lot :(,1
N46,Just got DENIED for Iphone Upgrade Program :( http://t.co/52vYEa3JL1,1
N47,abt to go wait in line for the new iphone and if they sell out I'm gonna be so pissed :(,1
N48,Working on an iPhone release day means i won't have much to sell today :(,1
N49,@officialUKMail was told my iphone would be here today :( not cool,1
N50,@sierraybarra_09 an iPhone 6 :(,1
N51,"@MioGlobal GUYS- fix your iOS9 app please :( there are many, many unhappy people out there including me- not worth buying Mio until they fix",1
N52,"Beat Buy only had the iPhone 6S, no 6S Plus. :(",1
N53,Someone with an iPhone help me please :( :( :(,1
N54,iPhone and Any Android phones please :( :),1
N55,so i no longer have jailbreak yarab ynzl mal ios9.1 sre3 :(,1
N56,UPS says my iPhone has been delivered but I still didnt get it :(,1
N57,@splitwise Splitwise app keeps crashing as soon as it opens :( iOS 9.1 on iPhone 6+,1
N58,I miss my iPhone. :(,1
N59,@JohnLegere is @TMobile ever going to update their iPhone app?! I just joined and its horrible :(,1
N60,I will miss my iphone :(,1
N61,Best Buy still hasn't received the iPhone 6s in rose gold :(,1
N62,The notifications drop down thing on ios9 is annoying. I preferred having everything ordered by app :(,1
N63,I'm very sad I didn't wait for the new iPhone :( but it's okay... Next month for sure I'll get it.,1
N64,@ErlingE Can you also release on a website? On Twitter for iPhone and FB imagens can only be seen when logged in :(,1
N65,"@opticalvisual Hi Andy, sorry to hear you're having compatibility issues with Three inTouch on your iPhone 6 :( That's annoying. Can you...",1
N66,I want the rose gold  iPhone :(,1
N67,I want the rose gold iPhone 6s :(,1
N68,Had to send my iPhone off for repair :( dont know how ill cope a week without it!!!,1
N69,I want the new iPhone :(,1
N70,"@macmixing got mine last monday, decided to let them pass, but now my iPhone 5S keeps crashing and I regret the invite I cri :(",1
N71,"Dear @iTunesPodcasts, Ever since the recent iOS9 update, the app keeps shutting down on me. Now I have to switch to @Stitcher :(",1
N72,Line for my reserved iPhone :( http://t.co/ICVtyhWKsv,1
N73,Hi :(: : basiccynthia Do u wanna get a BRAND NEW iPhone 6 for FREE? Please check my Bi0 :D Thx https://t.co/6mcTi7Pp1z,1
N74,I want an iPhone6s+ too :(,1
N75,@deniselorrainee I want some too but I'm going to get my iPhone later &amp; run errands &amp; finish homework so I can't :(,1
N76,@tsholo_phooko whats your email again cant whatsapp songs because iPhone :(,1
N77,Gay I can't get the new iPhone till January :(,1
N78,@Realist_Jayy black iPhone 5 :(,1
N79,@SpigenWorld i bought a ultra hybrid case for iphone 5s  won`t i get one ? :(,1
N80,@austin_ortega that's what I did with my old iPhone 6 :(,1
N81,"Three days ago my iphone 6 screen broke , still sad about it :(",1
N82,I want a rose gold iPhone 6s :(,1
N83,I just want to see my pick iPhone :(,1
N84,"Had to leave work at 16:00, my #iphone6s arrives in the office at 16:08 #bugger wait until Monday it is then :(",1
N85,@PeerIGN where's IGN on the new iOS9 news feed option? Only clueless gamer :( http://t.co/DXMS2t8rvd,1
N86,@J4mm1nJ03 true :( now im leaning on macbook air and maybe moto x pure. or iphone. i don't know lol.,1
N87,"@settern It's a nice pink. Not too barbie, a few shades away from salmon. It's good. I want my Cobalt Blue iPhone. It's not fair :(",1
N88,A *little* jealous at seeing the tweets and Facebook posts of people with their new iPhone 6Ss.  Mine still a couple of weeks away :(,1
N89,my father did not find the pink iPhone 6s+ so I have to wait until they have it :(,1
N90,Missing my iPhone :(  http://t.co/SL5QFNrTKD,1
N91,@JohnLegere I was but no iphone6s :(,1
N92,rich bitches getting the new iPhone why wasn't I born into a rich family :(,1
N93,@oskrNYC @IKEAtkinson :( I want a new iPhone so bad,1
N94,Payments changed for #iPhone6s and you have to get approved for a loan; despite good credit I didn't get it &amp; they can't tell me why :(,1
N95,Awww :( they were out kf rose gold how sad :(((( fuck up u lil shit u bought a new fucking iphone kys https://t.co/vJpCm99FgD,1
N96,"I wnt an iphone6s :(
iPhone 6s diary: Day one first impressions  forget the similarities, this is a whole new phone

http://t.co/XKGoBQVPuQ",1
N97,any1 got iphone 5 charger i can use pls in warners :( pls,1
N98,So my sister posted my NEW iPhone six to me but forgot to use the box and bubble wrap?????guess I'm not getting a new one :(,1
N99,@anildenizzz Iphone 4 :(,1
N100,waiting for my iPhone 6s :( http://t.co/iiDEiMeAtr,1
N101,"@RogersHelps Just upgraded my phone to a iphone 6s, yay!  No more Visual Voicemail available for the iphones anymore as an addon? :(",1
N102,Done exams but missed my iPhone delivery :(,1
N103,@evan_forst I have to turn it back in to get the new iPhone. :( I would give you my old phone but the screen doesn't work at all,1
N104,Be wary - my iphone hasn't been able to set up at all :( @NadirTekarli,1
N105,"You'd think that after dropping nearly $1000, #Apple would have a bit better quality control over their #iPhone6s. Looks like refurb :(",1
N106,Wish I had gotten the iPhone 6 Plus rather than the 6 :(,1
N107,@ipast0re can i have new one? :( got new iPhone 6s,1
N108,i want the new iphone 6s :(,1
N109,As if my sister got the iPhone 6s today :(,1
N110,Why is the new iPhone update telling me to find friends? Fuck off I have friends :(,1
N111,"Silly me. Here I thought @sprint's iPhone ""for life"" plan (which we have) was the same as ""forever"" plan. So no upgrade to 6s for us. :(",1
N112,"@gemswinc Hi all~Winter storm here, snowing.Having iPhone problems :( no pic @MoreThymeBlog @slines @sandarwai @Jade44_4 @ABlotz @WebGrrrrl",1
N113,@paigecalvert1 how come you're being sick? :( I'm okay just tired from iPhone launch!,1
N114,The new iphone came out today but mine isn't being shipped until Wednesday :( :( :(,1
N115,@LaurenJauregui Can you buy me an iphone 6s plus? i am poor :(,1
N116,@Carrottstickz dang it i dont have an iphone! :(,1
N117,@verizon wants me to buy the new iPhone but I'm wanting a new Xperia :(,1
N118,iphone 6s status: itunes crash looping :(,1
N119,I want the iPhone 6s :(,1
N120,my phone is literally stuck like this thanks to iOS9 wish I stayed with iOS7 :( http://t.co/4PXvRsRzEF,1
N121,my friend got the pink IPhone 6s and it's so beautiful :(,1
N122,Very tempted to buy this iPhone 6s while I'm at sprint. :(,1
N123,"@iPhoneinCanada Despite pre-ordering right after sales went live, my iPhone only NOW just got scanned in Ontario. :(",1
N124,Yay. Now to wait for it to finish syncing :( can't wait to test the 4K #iPhone6s #arrived #yay #4k,1
N125,@Eviltig1: Yay. Now to wait for it to finish syncing :( can't wait to test the 4K #iPhone6s #arrived #yay #4k http://t.co/zabYe3YK2Z,1
N126,"Screwed by AT&amp;T. 

Went in at reserved time. Waited. And told @Apple Store no longer sells iPhone at 2 year contract price. 

:( @tim_cook",1
N127,@VodafoneQatar hey ! My iPhone 6 screen got broken :( can I just exchange it with new one and pay the difference ?,1
N128,i miss having an iPhone :(,1
N129,still waiting on the iPhone 6s :(,1
N130,@Goons_TXT I use an iPhone :(,1
N131,@LadyGagaNowNet video won't play on iPhone :(,1
N132,i want the iPhone 6s :(,1
N133,@storiesupport yeah I'm on ios9 and have removed all photos. Can't upload :(,1
N134,I wish he would have pre-ordered my #rosegold #iPhone6s :(,1
N135,"@JohnLegere @TMobileHelp over 700 people watched live, my iPhone unboxing. Too bad I got sent the wrong phone :( http://t.co/XJhbU5fI9o",1
N136,literally devastated that the iPhone 6s costs the exact same as my 6 :(,1
N137,"@arkaeya no, I'm poor :(

They get the iPhone. I get yelled at.",1
N138,if anyone finds my blue 5c iPhone please return!! :(,1
N139,:( I've never wanted anything so bad than how I want the iPhone 6s god why me please i promise i won't let my friends touch it omg pls,1
N140,ill kiss you if you bring an iphone 5 charger to bk :(,1
N141,@simple Hey! I need your help :( trying to purchase na iPhone but my card was declined for no reason. I called and the message just said,1
N142,not happy with the sound quality on my new iPhone 6S 128. not sure what to do :(,1
N143,"Too much hype over an iPhone :(
Go and hang out in Brixton tonight, at least you know what your getting for your money ;)",1
N144,@generateapp app crashes on launch on iPhone 6s iOS 9.0.1 :(,1
N145,@swaveyaye_ my iphone like glitched &amp; it turned to home &amp; it's not there anymore I looked lol :(,1
N146,time to spend the next 10 days watching iphone 6s videos until mine comes :(,1
N147,":( just broke my iphone 6+ :( 

Inna Li Allah",1
N148,:( just broke my iphone 6+ :( Inna Li Allah,1
N149,Why can't I get an iPhone 6s? :(,1
N150,"forced to trade phones with my mom, now I have a cracked ass iPhone 6plus. help :(",1
N151,Received #iPhone6sOnO2 but put on the wrong tariff by @O2. Told 2 return #iPhone6s &amp; re-order!!! #Serously.!!! :( #TerribleCustomerService,1
N152,Been without my #iPhone for a few weeks so have been off #socialmedia too :( Not the same tweeting &amp; posting on a laptop! #lovemyphone,1
N153,I really want the rose gold iPhone 6s :(,1
N154,What was the point of preordering the new iPhone 6s if I have to wait until Monday now :( @TELUSsupport,1
N155,Someone come bring me a iPhone charger PLS :(,1
N156,#iphone6s First day! I envy my sister! Why can't they release it here simultaneously :( http://t.co/ULpc9U3tLt,1
N157,You cant buy an iPhone with the Upgrade Program without activating a line. Learnt that after 45min in line. :(,1
N158,How @AlmightyJellybn tells me my iPhone has arrived yet again 4000 Km away :( http://t.co/tNlsY6YIsV,1
N159,@TypicalReviews @TypicalGamer i wouldn't mind having I'm still stuck on the iPhone 4 cant afford to upgrade :(,1
N160,I just want the rose gold iPhone 6s :(,1
N161,"@Mymummyspam I recorded on my iPhone, moved it to the iPad and edited on iMovie. :) I tried windows movie but it's crap. I want a Mac :( X",1
N162,@joyboy96 like a one plus? iphone really isn't that great :(,1
N163,"today @Sia's new single, apple #iPhone6s, @katyperry in SaoPaulo, @NintendoAmerica #ACHHD launch. its my b-day, I have $ for none of them :(",1
N164,Ugh I wanna go see if I can get the iPhone 6S plus today but I don't think I'm eligible rn :(,1
N165,"Hello sir, trying to upgrade my GF iphone 6plus to the 6s plus but sales dept said we need to wait another year :(",1
N166,"i honestly don't even really want the new iPhone, but my current one is dying sooooooo.. :(",1
N167,How come the iOS9 update crashes my apps when I open them and idk how to turn my text and call vibrations back on? :( @AppleMusic,1
N168,@Starbucks Is Mobile Call Ahead ordering only available on the iPhone 6? Everyone has it but me and it's the worst :(,1
N169,I want the new iPhone :( could have it right now I'm at work but I can't pay that much,1
N170,I've been waiting to pick up my new iPhone all day but carphone warehouse haven't ran me :(,1
N171,Okay got a iPhone 5c cause my 6 broke :(,1
N172,@bemeapp any reports of Beme not working on iPhone 6s? Not working properly for me. It doesn't stop after 4 seconds :(,1
N173,"So im dumb and had BETA software on my old iPhone, so now I have to update my new phone to BETA software so I can transfer my settings. :(",1
N174,"Why does UPS not specify what time end of day delivery is: https://t.co/avVdfdzniH

my iPhone :(",1
N175,I'm trying to save money but I really want the new iPhone :(,1
N176,@TMobileHelp im considering switching back to iphone because my lg was impossible to get fixed :(,1
N177,"I really want a rose gold iPhone, can't upgrade till March though :(",1
N178,My only regret about switching from iPhone to Android is losing the flappy bird app :(,1
N179,I really want the new iPhone that's rose gold it's meant for me :(,1
N180,@5ophs want one! I'm having to make do with Jordan's old iPhone 5 for the foreseeable future :( enjoy yours! X,1
N181,@ATTCares Not charge me $200 for my smashed iPhone on the Next program just because I forgot to add insurance. :(,1
N182,anthony is so damn lucky because he's getting the iPhone 6s :(,1
N183,Really wish I could've gotten the space grey iPhone :(,1
N184,that's a craptastic start to the weekend. shattering my iphone :( you're rubbing off on me @MacDerDer,1
N185,"@MioGlobal help now my fuse is saying NO mem when try to start workout :( still can't synch as awaiting your ios9 update, anything I can do?",1
N186,@RickyPDillon  give me an iPhone :( like I have an android lol,1
N187,tfw you have an iPhone 6 but want the iPhone 6s :(,1
N188,my cousin just got two iPhone 6s's delivered to work and I want one so bad :(,1
N189,I want the iPhone 6s :(,1
N190,does anyone wanna give me there old iphone bc this sucks :( :( :(,1
N191,Please @RickyPDillon give me your iPhone  my phone is a shit :(,1
N192,@MaycenQuinn I have an unemployed iPhone :(,1
N193,I think @periscopeco is broke in iphone 6s!!!! This is terrible. No sound on any of my attempts to broadcast. :(,1
N194,People need to stop getting the new iPhone and making me sad :(,1
N195,@tomxmitchell i also want an iphone 6 :(,1
N196,@tomxmitchell I WANT AN IPHONE 6S TOO OKAY :(,1
N197,do i seriously have to wait for xmas for the iphone 6s rose gold :( soooo pretttyyyyy #iwant #firstworldpro.,1
N198,@hestiahdruid at least you are home. My new iPhone 6s arrived and I'm at work for 30 more mins! Then 30-45 min drive home. :(,1
N199,@ElvisAmbe Hahaha I guess its only for iPhone user :(,1
N200,Gonna get the iPhone in 2 months :(,1
N201,@periscopehelp has anyone reported problems on new iPhone? I have no sound when I broadcast. :(,1
N202,it was nice having the latest iphone while it lasted haha :(,1
N203,"Getting grrr at iTunes.. Backed up iPhone 5S, got iPhone 6S, tried to move everything onto new phone but nope its not having it :(",1
N204,my sister just got the iPhone 6s in the rose color :(,1
N205,My new iPhone just made it to my house and I'm already at the airport :(,1
N206,It's been 2 hours...where is my iPhone 6s :(,1
N207,@Krazyrayray so lucky ! My iPhone broke and my dad got me an android ! :(,1
N208,i hate my iPhone 5s.. i want the new iPhone :(,1
N209,hey I want the iPhone 6s :(,1
N210,"@TMobileHelp True, I could have ordered from @att as well. First time I missed an iPhone launch since the beginning :(",1
N211,Was hoping to get my new iphone today but apparently only a sticker has been made. Don't even know when to expect it! :( @UPS @sprint,1
N212,Shattered my phone today.. :( headed to get the iPhone 6s :),1
N213,@TMobile I went tried to do the upgrade. But there was a glitch in the system and now I have to wait until Monday to get my iPhone :(,1
N214,i want the iphone 6s :(,1
N215,Got the new iPhone 6S definitely  enjoying this new phone. Went from a 6 plus though so I'm missing my screen :(,1
N216,i want the new iphone :(,1
N217,"NOO! I just called the @TMobile near my house, and they don't have the iPhone 6s Plus!!! DX I'm very sad now... :( I wanted to use JoD!",1
N218,"my iphone 6s has arrived, but i'm 55 miles or 2 hours of traffic away from it :(",1
N219,@waze i upgraded my iphone 5S to IOS9.1. waze no longer works on my pioneer appradio 3SphDa210 car head unit.pls help.. It doesn't mirror :(,1
N220,Appointments to get an iphone at 5th ave just meant a spot in 1 hour line to go inside :(,1
N221,That sad moment when @andrewbazzi cant gift you #BringYouHome because I have no iPhone and I'm broke :(,1
N222,@sprintcare How can I activate my iPhone? http://t.co/shmULVqg1Y is down :(,1
N223,@MeganStael @TravusHertl okay yeah its only for iphone 6 then :(,1
N224,"Well, my ol' iPhone officially sucks. The @goodreads app no longer works on whatever dinosaur iOS I've been left behind on :(",1
N225,I want the rose gold iphone :(,1
N226,"That moment when you get your new iPhone 6s Plus, and it's dead on arrival. :(",1
N227,I've had my iPhone 6 since January and I'm already missing half the screen I don't think I'll make it until the end of my contract :(,1
N228,I guess if you're a baseball player you actually get your iPhone 6s on the day it comes out. :( @MWBII  https://t.co/ntLYlEeaUX,1
N229,I want the iPhone 6s Plus :(,1
N230,I want the iPhone 6s :(,1
N231,So many people have already the iphone 6s... I'm so jealous :(,1
N232,"My new iPhone arrived!

at the wrong address

2200 miles away.
f
:(",1
N233,"My new iPhone arrived!

at the wrong address

2200 miles away

:(",1
N234,i want iphone 6 so badddd :(,1
N235,i need my iphone 6s already :(,1
N236,The new iPhone is nice and everything but its a bit big for my hands :( #firstworldproblems,1
N237,@rgay aww :( when I first got an iPhone i couldn't figure out how to put the SIM card in. For like TWO DAYS.,1
N238,"The one thing I miss about my iPhone is battery life. If this Nexus 6 isn't hotter than the sun, it's dead :(",1
N239,@LOHANTHONY um hi send me a lot of love my iphone got stolen today :(,1
N240,@sprintcare I cannot activate a new iPhone. I can't believe that Sprint did not anticipate this. :(,1
N241,@TMobileHelp @TMobile @JohnLegere T-Mobile order system screwed me over...no iPhone for me. Should have gone with AT&amp;T or the others :(,1
N242,I'm gonna have to sell all my cute iPhone 5 cases when I upgrade to a 6s :(,1
N243,Tricia da spoiled ass I gotta wait a week 4 my iPhone 6s :(,1
N244,@DarrenCriss Why an app that's only availale on iTunes? Not everyone has an iPhone or iPad :(,1
N245,"Has anyone noticed a problem with iOS9 and the ""~"" general sibling combinator selector? We have something that suddenly no longer works. :(",1
N246,Everyone getting the iPhone 6s :(,1
N247,I want the new iPhone :(,1
N248,iPhone 4s doesn't have the new emojis :( http://t.co/8b2a9ZL3ZS,1
N249,Want the iPhone 6s :(,1
N250,Super sad because my iPhone 6s+ never got here :(,1
N251,"I'm not getting the iPhone 6s Plus until the end of October, nor the gold MacBook or the Apple Watch until December :(",1
N252,My student is getting an iPhone 6s and she's only 8 wtf :(,1
N253,This new iphone is lame :( lol,1
N254,My sister got the new iPhone :(,1
N255,@akaDazed Damn lucky ass people with the iPhone 6S Plus... I still my 6 plus till my contract. I want that 4K SO BADLY! :(,1
N256,The difference in weight between #iPhone6 and #iPhone6S is huge! 6S feels 2x heavier :(,1
N257,I just got the iPhone 6 and I want the 6s :(,1
N258,moved this Steve Urkel sticker from my iPhone 5s to my iPhone 6s and the arm fell off :(,1
N259,I just reset my whole iPhone :( lost all my pictures ,1
N260,Very disappointed in @TMobile . They sent iPhone 6s instead of plus. Spoke with support which helped. First time no iPhone on launch day :(,1
N261,@loamlife The iPhone version 'doesn't have' puzzles :(,1
N262,Playing with the new iPhone 6S in rose gold for review. Soooo... can I keep this forever? :( http://t.co/3QZT2zDTiX,1
N263,"I need an iPhone to be happy until then , :(",1
N264,I want the iPhone 6s :(,1
N265,No iPhone for me today. Delivery says 9/25 but its 9pm so i doubt its coming. :( sad panda @TMobile @TMobileHelp,1
N266,:( no iPhone delivery from @UPSHelp,1
N267,Idk if I should get the gold or black iPhone :(,1
N268,wow someone bring me an iPhone 6 charger my phone at 3% and I forgot mine in my moms car :(,1
N269,wanting the iPhone 6s but I already got the 6 plus fuck I want that phone :(,1
N270,"Omgg, why cant i have the iphone 6s rose gold!!! 
Oh yea because im brokee... :( 
#brokepeopleproblems",1
N271,iPhone 5s :( need a upgrade tf https://t.co/FJUcNe28zI,1
N272,aw man ios9 doesn't let me hide folders anymore :(,1
N273,Spotify on iphone is bay cunt tho :(,1
N274,#YouKnowWhatDude I just shattered my iPhone screen :( sad face,1
N275,I want the new iPhone :(,1
N276,How do I get music from my iCloud library off my iPhone :(,1
N277,All of San Antonio is out of the iPhone 6 Plus S ... I'm so sad bc I wanted to get mine today :(,1
N278,"They didn't have the iPhone 6s Plus, they just had the regular iPhone 6s. :(",1
N279,@Plantronics does the BackBeat Fit not work with iPhone 6s yet?! IF NOT I'M SO UPSET :( #cantrunwithoutmusic,1
N280,Unboxing Every iPhone 6s / 6s Plus ponche envidia :(  http://t.co/7sEmy3XA9L,1
N281,My iPhone needs to hurry up and come in :(,1
N282,"@tmobilehelp all three phones are iPhone 5S running iOS 8.3. WiFi FaceTime calls have no issues. However, FaceTime over cellular doesn't :(",1
N283,"Apple iPhone 6s may be out, along with iOS 9.1 beta 2 and watchOS 2 but developers are lagging behind in keeping their Apps up to date! :(",1
N284,RIP IPHONE :(,1
N285,I got a new phone...Its hard going from iphone to android :(,1
N286,The rose gold iPhone not even all that pink like I thought :(,1
N287,"@ausidineo_ lol, lies twitter. :( remember the iPhone thing.",1
N288,need a new iPhone asap :(,1
N289,goodbye iphone 4 :(,1
N290,my iPhone is at home just waiting for me to use it :(,1
N291,Wasted so much time trying to buy my iPhone 6s :(,1
N292,Shout out to everyone that has a iPhone 5c you're a trooper for dealing with this crap :(,1
N293,"does anyone make Sheo/Shai Vine edits with a phone that isn't iPhone? if so, how do you do it? :(",1
N294,So my iphone isn't working... I can't open any apps/use the touch screen at all. :(,1
N295,I basically am gunna lose this account bc I got an iPhone but I can't remember my pw to set login there so goodbye everyone. :(,1
N296,"@rana_rdesigns Well, the first scope I did with the RUSH tunes recorded to my iPhone as well. I just can't see the comments. :( But I'll 1/2",1
N297,but im not ready to let go of my iphone 5 bc not ready for the ugly ass emojis :(,1
N298,Got the rose gold iPhone and it's actually true to the color. I thought it would be more pink  :(,1
N299,@MacRumors @hsumra I cant ever get Touch ID on my iPhone 6 Plus to work within 5 tries 90% of the time. :(,1
N300,#iphone or #android? I want a new phone :(,1
N301,The rose gold iPhone doesn't even look rose gold :( that's just straight up pink,1
N302,I want an iPhone 6s :(,1
N303,Someone pls bring me a iPhone 6 charger I left mine at my moms :(,1
N304,Saddens me to get a case for my iphone 6s its so nice without one :( #Apple #Iphone6s #iphone6scase,1
N305,"My iPhone has been lonely at my house for hours.
I'm not there :(",1
N306,@ashleymegannn I wish :( my iPhone broke. And probably in a few weeks. I'm coming for work since I'm a district manager now.,1
N307,"My bf said I wasn't really a ""girl"" So I got a pink iPhone. HA SHOWED HIM. Oh wait. They call it ""bro's gold"" now :( http://t.co/PJ5OXj7M5k",1
N308,My iphone is glitching! :(,1
N309,"@VZWSupport my bf has an iPhone 6s with mobile hotspot included in his plan, but can't activate it. tried on both computer and phone :(",1
N310,@UPS Where is my iPhone? Apple should of went with FedEx. :(,1
N311,kinda wanna sell my iPhone 6 and get the 6s but also dont wanna go through the trouble :(,1
N312,Montse is getting her iPhone sooner than me :( she made a good choice by getting the Champagne/Gold color one.,1
N313,I want the iPhone 6S :(,1
N314,@prime_31 @glassbottommeg I'm finding 3d touch on the iPhone 6s to be underwhelming. Doesn't feel like it's at my finger. :(,1
N315,@khloekardashian i really really reallllllly wish i could watch the livestream! Its never ever gonna work unless i buy an iPhone :(,1
N316,So cant play with my iPhone 6s tonight :( Sending the back to Verizon then going to Costco and getting the $100 rebate.,1
N317,So cant play with my iPhone 6s tonight :( Sending them back to Verizon then going to Costco and getting the $100 rebate.,1
N318,now I want the iPhone 6s :(,1
N319,@jaime_downs I miss that iPhone! :(,1
N320,I just want my new iPhone already :( wish TMobile wouldn't have messed up my pre-order,1
N321,I thought that the iPhone 6s was going to be big but it's so small :( But the iPhone 6s plus look so good it's going to be in Stock november,1
N322,okay Iphone 6s okay :(,1
N323,I want an iphone 6s :(,1
N324,@iCrackUriDevice I can't log in cause I don't have a iPhone :(,1
N325,I want the rose gold iPhone :(,1
N326,I want the rose gold iPhone :(,1
N327,@unica_corpuz My iPhone got sick  :(,1
N328,"@TypicalReviews  I have samsung galaxy s duos , it's a shi* . so I very need Iphone 6s :( ;) :D",1
N329,Actually have enough to buy an iphone 6s but i gotta wait till after christmas... i need a good camera on my phone :(,1
N330,@tim_cook I feel my iPhone like a Windows vista :(,1
N331,When the uber driver doesn't have an iPhone charger :(,1
N332,@igyaan when will u post iphone 6s unboxing video. Waiting ?? :(,1
N333,I NEED the rose gold iPhone 6s :( pls,1
N334,"My iPhone 6s isnt activating :( 
@ATTCares",1
N335,I want an iphone 6s :( anyone listening. *coughs out loud*,1
N336,Missing my iPhone :(,1
N337,Hm no i want the brand new iphone 6s :(  https://t.co/bU4VXHH9TT,1
N338,"Everybody on @lifehacker ""this is how I work"" series uses an iPhone :(",1
N339,my phone is so slow bc of ios9 :(,1
N340,@Cita_18 nothing yet lol but I want my new iPhone already :(,1
N341,finally got my iPhone but theres no more puke rainbows.........  :(,1
N342,@MODadBodAnon you don't have an iPhone :(,1
N343,@iCrackUriDevice i dont have an iphone to get the app :(,1
N344,@leiahenders_ I dont have an iPhone anymore :( lemme dm you x,1
N345,@samITFC It seems a lot bigger ha! Noticed the sms bug I was having on my 5S since updating to iOS9 is still there :(,1
N346,@VixenAria iPhone 5 and the front screen is messed up so I'm waiting for the package next week so I can fix it and use it again :(,1
N347,@ugiveawaybase The link in ur bio doesn't work bro. :(  i really want to win the iPhone 6 plus..,1
N348,HAHAHAHAHA OMG I WANT 1HTC!!! I dropped my iPhone from my hand and he crashed :( haha https://t.co/ny4CbDut9R,1
N349,I want that IPhone 6S :(,1
N350,@Mr_Rato Buy me a phone dude. iphone yami inyile :(,1
N351,Bye Iphone :(,1
N352,everyone's getting the new iPhone :(,1
N353,@VodafoneUKhelp why isn't the iPhone Vodafone app working? :(,1
N354,missing my iphone cant deal with an android one :(,1
N355,@amal928 my friends surprised me with an iPhone box once and I was excited thinking I just came up but nah they just bought me the box :(,1
N356,i want the iphone now :(,1
N357,"@mr_marc_rogers Hi Marc, we're sorry to hear your iPhone didn't show up yesterday :( That's not good. How did you order your iPhone? Was...",1
N358,@broman_official iphone 6s! My ancient phone is broken for good na kasi :( tapos our requirements here demand a mobile phone.... LOL,1
N359,My 3D Touch isn't working on my iPhone 6s!! What's up with that @APPLEOFFIClAL :( #nothappyatall #stressingout #backupnotworking #apple,1
